Id,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,BsmtFinSF1,LotFrontage,WoodDeckSF,OpenPorchSF,HalfBath,LotArea,BsmtFullBath,BedroomAbvGr,ScreenPorch,PoolArea,MoSold,3SsnPorch,1stFlrSF,2ndFlrSF,CentralAir,KitchenQual,SaleType,RoofStyle,Condition1,Foundation,HeatingQC,Electrical,LotShape,LandContour,BsmtQual,GarageFinish,GarageType,BsmtFinType1,BsmtExposure,GarageQual,MSZoning,LandSlope,Heating,HouseStyle,ExterQual,Street,Utilities,LotConfig,Neighborhood,Condition2,BldgType,RoofMatl,Exterior1st,ExterCond,Exterior2nd,MasVnrType,BsmtCond,BsmtFinType2,Functional,GarageCond,PavedDrive,MSSubClass,SaleCondition,SalePrice
0,1716.572,-0,-0,-0,-0,-0,1999.0735,2001.8024,1998.3964,-0,-0,-0,-0,-0,-0,-0,8417.6455,-0,-0,-0,-0,-0,-0,852.67957,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,208556.03
1,1267.23,-0,-0,-0,-0,-0,1970.8878,1975.9315,1973.299,-0,-0,-0,-0,-0,-0,-0,9568.158,-0,-0,-0,-0,-0,-0,1259.3129,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,181473.33
2,1792.0966,-0,-0,-0,-0,-0,1997.0267,1999.3951,1996.17,-0,-0,-0,-0,-0,-0,-0,11216.56,-0,-0,-0,-0,-0,-0,916.27026,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,223532.11
3,1721.6704,-0,-0,-0,-0,-0,1927.2509,1953.1056,2003.2605,-0,-0,-0,-0,-0,-0,-0,9538.131,-0,-0,-0,-0,-0,-0,956.9536,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,139956.47
4,2205.515,-0,-0,-0,-0,-0,1995.9672,1995.6844,1993.1761,-0,-0,-0,-0,-0,-0,-0,14222.44,-0,-0,-0,-0,-0,-0,1140.8993,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,249908.67
5,1365.5911,-0,-0,-0,-0,-0,1984.6339,1999.0775,1989.5095,-0,-0,-0,-0,-0,-0,-0,14088.19,-0,-0,-0,-0,-0,-0,792.166,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,142684.78
6,1703.904,-0,-0,-0,-0,-0,2003.8787,1999.2144,1997.1912,-0,-0,-0,-0,-0,-0,-0,10034.655,-0,-0,-0,-0,-0,-0,1689.0846,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,307086.38
7,2094.7004,-0,-0,-0,-0,-0,1968.8438,1972.124,1969.4044,-0,-0,-0,-0,-0,-0,-0,10357.162,-0,-0,-0,-0,-0,-0,1104.6198,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,200050.1
8,1777.6956,-0,-0,-0,-0,-0,1923.7836,1949.3594,1926.7953,-0,-0,-0,-0,-0,-0,-0,6101.393,-0,-0,-0,-0,-0,-0,1021.09827,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,129834.55
9,1080.48,-0,-0,-0,-0,-0,1935.794,1945.8464,1937.6593,-0,-0,-0,-0,-0,-0,-0,7405.273,-0,-0,-0,-0,-0,-0,1074.7513,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,118126.87
