Id,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,BsmtFinSF1,LotFrontage,WoodDeckSF,OpenPorchSF,HalfBath,LotArea,BsmtFullBath,BedroomAbvGr,ScreenPorch,PoolArea,MoSold,3SsnPorch,1stFlrSF,2ndFlrSF,CentralAir,KitchenQual,SaleType,RoofStyle,Condition1,Foundation,HeatingQC,Electrical,LotShape,LandContour,BsmtQual,GarageFinish,GarageType,BsmtFinType1,BsmtExposure,GarageQual,MSZoning,LandSlope,Heating,HouseStyle,ExterQual,Street,Utilities,LotConfig,Neighborhood,Condition2,BldgType,RoofMatl,Exterior1st,ExterCond,Exterior2nd,MasVnrType,BsmtCond,BsmtFinType2,Functional,GarageCond,PavedDrive,MSSubClass,SaleCondition,SalePrice
0,1679.597,1.9709741,536.5543,821.7897,1.9891802,7.833225,2003.9862,2003.5955,1996.6182,-1,-0,719.36255,63.7405,3.9408684,-0,0.9915815,7088.231,1.0038888,2.917119,-0,-0,2.2379808,-0,838.08234,843.0543,0.99865246,2.0087523,8.0011015,0.9949431,2.0103369,1.9757886,-0,3.991489,2.9532256,2.9845812,1.9842572,0.9990246,1.0309083,1.9872129,3.024697,4.0014887,3.0144725,-0,0.9930587,5.049321,2.006226,1.0001311,-0,3.9847155,4.9426537,1.9813182,-0,0.97778606,12.026213,3.9956348,13.0651455,1.027686,3.002955,4.994078,6.0133395,4.0138855,2.0100484,5.141257,4.006773,209992.88
1,1232.5759,1.965443,448.92007,1220.0874,2.0030887,5.8723207,1977.0569,1976.762,1971.0964,-1,1.0006334,992.892,79.94432,305.37088,-0,-0,8309.937,-0,2.8904464,-0,-0,5.1369376,-0,1242.24,-0,0.9987086,3.0112739,7.9758954,1.0003306,1.0551493,0.9678931,0.013207909,3.9972103,2.9741147,2.998324,1.9752237,1.0070283,1.0103289,-0,1.0169194,3.99742,3.0259967,-0,0.9938383,2.1097603,3.0002394,1.0006957,-0,1.9456141,23.7558,1.9610476,-0,0.9780381,7.9943027,4.015302,7.94625,2.019075,3.002976,4.989694,6.0253816,4.012237,2.01749,-0,4.027377,184965.03
2,1747.2129,1.9660248,599.5518,876.67395,1.9859165,5.8468356,2002.0092,2002.7882,1995.3988,-1,0.9755354,489.17816,66.568405,4.9604745,-0,1.0003649,9669.345,1.0046107,2.8824332,-0,-0,9.172339,-0,908.37445,849.03204,0.99965495,2.0061202,8.007161,0.99816805,2.0207176,1.9735672,-0,3.9830809,-0,2.992846,1.9792106,1.0059757,1.013487,2.0182002,2.009897,3.9999495,3.0225742,-0,1.0018171,5.1090994,1.9909391,1.0019655,-0,3.9905884,4.896327,1.9673264,-0,0.9780411,12.056084,3.9883063,12.970971,1.0212796,3.0071769,4.9894924,6.028019,4.013663,2.0090275,5.1473784,4.004179,227223.83
3,1692.1721,2.9525938,625.0569,722.68933,0.98399895,6.9105835,1916.0613,1970.2661,1953.272,-1,0.9951687,218.06633,59.774883,1.4201143,-0,-0,8939.91,1.0140686,2.900284,-0,-0,2.2215848,-0,947.67676,741.47473,0.99989307,2.0062473,7.9980206,1.0150685,1.990087,-0,2.0007203,3.9851403,-0,2.9992151,2.987415,2.0124218,5.017933,-0,3.0070915,3.989041,3.0128672,-0,1.0071375,5.119517,2.9823713,1.0050497,-0,-0,6.0460434,1.9727129,-0,0.985421,13.0104885,4.0130477,14.961116,2.0207496,0.9808826,4.9494514,6.0419555,4.033203,2.0045605,6.148036,-0,141764.17
4,2154.5957,2.9646482,826.33624,1096.1389,1.9818244,8.82317,2001.0895,2001.0398,2002.1128,-1,0.96779513,660.0534,82.67322,198.91068,-0,1.0045152,12380.846,1.0178192,3.8679154,-0,-0,12.213329,-0,1126.3495,1035.5131,0.9993816,1.996577,8.002611,1.000634,2.04676,1.9687997,-0,3.978744,-0,2.9977627,1.9751655,1.0117474,1.0143695,2.0278068,-0,4.0030565,3.0172153,-0,0.99961805,5.1557026,1.9951061,1.0022352,-0,1.9656159,14.848129,1.9645137,-0,0.96971816,12.007421,3.9993558,12.8953,1.0168912,2.998188,4.9817452,6.0197797,4.014945,2.0210347,5.1127796,4.0074806,254019.1
5,1332.8405,1.963172,468.9483,758.6336,1.0019963,4.9106083,1993.4274,1995.7131,1995.5283,-1,-0,731.55316,84.533806,47.27564,-0,0.9917509,12782.3,0.98496866,0.9114987,-0,-0,10.210413,-0,779.1359,550.6419,0.9990926,3.002457,8.006644,1.0040743,2.0134342,4.9563246,-0,3.9920135,-0,2.9984694,1.9687386,2.0049372,1.0449082,2.0559504,3.030184,3.9857411,3.028587,-0,0.9966174,0.038578935,2.994613,1.0022643,-0,3.9634578,11.045623,1.9772518,-0,0.9718736,12.164904,3.9873314,13.062682,2.0483143,3.0102553,4.9971323,6.039415,4.0147142,2.0065036,4.024162,4.0208106,146280.27
6,1653.4971,1.9667276,626.0225,1634.0714,1.9932818,6.8247027,2005.0819,2005.8137,1998.0393,-1,0.98922753,1378.4745,74.14486,262.29877,-0,-0,8801.488,1.01201,2.8779383,-0,-0,8.172114,-0,1672.8461,-0,0.9997089,2.003959,8.014785,0.9928434,2.0614662,1.9620528,-0,3.9928699,2.9577947,2.9983249,-0,1.0100118,1.0079446,2.0667613,0.014230356,3.9997082,3.0319147,-0,0.99147797,2.113062,2.0051591,1.0028594,-0,3.980342,20.828346,1.9672368,-0,0.97918576,12.006257,4.0058827,12.951464,3.0164413,3.0131378,5.0035214,6.026938,4.0156965,2.0155525,-0,4.0117297,312142.5
7,2047.3678,1.9602078,474.59906,1054.2263,1.9768034,6.869405,1974.5807,1974.0905,1972.2717,-1,2.001185,873.305,-1,242.92578,-0,0.99219596,9436.192,0.99896854,2.8832307,-0,-0,11.0709505,-0,1078.3458,983.3118,0.9994253,2.9989083,7.982773,1.0241535,4.0223613,0.98030776,0.000196453,3.9758916,-0,2.9942498,1.9988688,1.0151466,1.0149925,0.012694074,2.008456,4.010182,3.0373254,-0,1.0079424,5.1346416,2.9967675,1.004933,-0,-0,13.757061,1.9693052,-0,0.97846,6.0058107,3.9950237,6.0189548,2.9902403,3.0016637,0.98423827,6.057777,4.0144386,2.0202355,5.071932,4.0307403,203043.62
8,1748.6096,1.9705008,459.42523,902.2903,1.9636769,7.8807034,1930.7421,1950.25,1934.7299,-1,2.0272148,-0,51.763725,99.71872,-0,-0,5558.4243,-0,1.8519441,-0,-0,4.06757,-0,1014.7926,733.0334,0.9994642,3.0079126,8.018694,1.0012628,0.043239713,-0,2.0554557,0.96197367,2.9467795,3.0215268,2.9694173,2.0090573,4.9715447,5.0560193,3.0596704,0.9935257,4.013541,-0,0.9956794,0.027469259,3.004642,1.0013318,-0,3.9414258,16.834148,1.9911036,-0,0.98318726,2.9704156,4.0175223,14.916152,2.02465,3.0043063,4.9871473,2.0516663,4.0140667,2.0167794,4.026436,-0,133381.81
9,1041.5342,0.98615587,197.82318,933.1742,0.9711304,4.8865733,1939.5785,1950.0669,1937.4303,-1,2.0096848,849.59796,48.223824,1.6685604,-0,-0,5965.35,1.0080674,1.877093,-0,-0,1,-0,1071.5978,-0,0.999452,2.9848053,8.014219,1.0107765,-0,-0,-0,3.99128,2.9710913,3.011997,2.962608,1.0147649,0.99195546,2.0614252,3.030937,2.0341778,3.0125048,-0,0.99846077,1.0999212,3.0048513,1.0015365,-0,-0,2.91443,-0,-0,0.9854093,7.956967,4.0236053,7.916517,2.0107353,3.0243535,4.984549,6.0643573,4.020428,1.999269,14.257805,4.034123,121334.68
