Id,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,BsmtFinSF1,LotFrontage,WoodDeckSF,OpenPorchSF,HalfBath,LotArea,BsmtFullBath,BedroomAbvGr,ScreenPorch,PoolArea,MoSold,3SsnPorch,1stFlrSF,2ndFlrSF,CentralAir,KitchenQual,SaleType,RoofStyle,Condition1,Foundation,HeatingQC,Electrical,LotShape,LandContour,BsmtQual,GarageFinish,GarageType,BsmtFinType1,BsmtExposure,GarageQual,MSZoning,LandSlope,Heating,HouseStyle,ExterQual,Street,Utilities,LotConfig,Neighborhood,Condition2,BldgType,RoofMatl,Exterior1st,ExterCond,Exterior2nd,MasVnrType,BsmtCond,BsmtFinType2,Functional,GarageCond,PavedDrive,MSSubClass,SaleCondition,SalePrice
0,0.26328927,0.5032677,0.38930297,0.13892497,0.6636242,0.5048121,0.9431048,0.8916189,0.9915096,0.11985883,0.0020333533,0.13171381,0.21315923,-0.0,-0.0,0.52160037,0.035743035,0.34040296,0.37131387,-0.0,-0.0,0.0974086,-0.0,0.11939275,0.4175951,1.0028971,-0.0,0.99293417,0.19767259,0.24964812,0.40297255,-0.0,0.79501015,0.98977315,0.9932691,0.48461175,0.3174601,0.15950437,0.3284312,0.7379809,0.79837656,0.75061774,-0.0,0.20156474,0.71622485,0.6594093,0.9983696,-0.0,0.9962795,0.2018418,0.28606418,-0.0,0.14099897,0.8575963,0.99255604,0.862518,0.24291849,0.7444232,0.8297558,0.9961588,0.79970735,0.9934152,0.35868344,0.80126756,0.24566087
1,0.17721,0.49572435,0.3207602,0.20315196,0.66084963,0.33451945,0.74386114,0.4377745,0.98137516,-0.0,0.33613658,0.17962982,0.26206568,-0.0,-0.0,-0.0,0.040054984,-0.0,0.37277985,-0.0,-0.0,0.3716557,-0.0,0.21265227,-0.0,1.0020406,-0.0,0.9976252,0.19511972,0.12515394,0.20047896,-0.0,0.7955265,0.9988598,1.0043366,0.48951975,0.31836683,0.16774476,-0.0,0.2401119,0.80118144,0.75551856,-0.0,0.20154954,0.28637427,0.9960223,0.99851394,-0.0,0.4867417,0.98802686,0.28426853,-0.0,0.14021069,0.5714295,0.9842637,0.53009564,0.4956693,0.74455875,0.8277383,0.9980797,0.7973906,0.99882984,-0.0,0.8024736,0.20449337
2,0.2755635,0.50158715,0.42389765,0.1496746,0.659849,0.3376261,0.928042,0.86448747,0.9917735,0.09849933,0.34190863,0.09306428,0.22030708,-0.0,-0.0,0.5188964,0.049116336,0.33759907,0.37166584,-0.0,-0.0,0.73246115,-0.0,0.13316137,0.4183173,1.0047832,-0.0,0.9932167,0.19477709,0.24919723,0.40304345,-0.0,0.7927143,-0.0,0.9968645,0.48320007,0.32050726,0.16048972,0.32834646,0.4872953,0.7990041,0.75550765,-0.0,0.20240138,0.71180934,0.6578365,1.0005094,-0.0,0.99417424,0.20082948,0.2831479,-0.0,0.14101817,0.8544178,0.9950127,0.8593933,0.24952471,0.7406148,0.8208381,0.9970413,0.7993014,0.9839028,0.3534516,0.8025796,0.26688734
3,0.2616292,0.7439586,0.4455582,0.11931394,0.32344598,0.42181072,0.30559435,0.31714576,0.96980447,-0.0,0.3407826,0.04267177,0.19940683,-0.0,-0.0,-0.0,0.044073097,0.33301514,0.3749144,-0.0,-0.0,0.09149709,-0.0,0.14280587,0.35310563,1.0060295,-0.0,0.9931462,0.19555707,0.2484932,0.00074642897,0.48121086,0.7917235,-0.0,0.99651885,0.7457273,0.65276086,0.8324324,-0.0,0.7341381,0.79924846,0.75935996,-0.0,0.201705,0.7134168,0.99382746,1.0000583,-0.0,-0.0,0.23009011,0.2821089,-0.0,0.14213568,0.9191276,0.98246413,0.9960236,0.49309427,0.24389228,0.82365143,1.0005139,0.8062068,0.9983365,0.42976192,-0.0,0.14829645
4,0.35309064,0.75214535,0.5841702,0.186487,0.65733665,0.5853598,0.9201532,0.8395146,0.992494,0.21654665,0.3412071,0.122338444,0.27160245,-0.0,-0.0,0.51564854,0.06252869,0.33810982,0.49747622,-0.0,-0.0,1.0052594,-0.0,0.18469618,0.50785965,1.001838,-0.0,0.99663365,0.19562468,0.2500417,0.40400186,-0.0,0.79098177,-0.0,0.99694014,0.487805,0.31808427,0.15929759,0.328937,-0.0,0.7996422,0.75517106,-0.0,0.20155539,0.712867,0.6636831,0.99663115,-0.0,0.4864629,0.6098025,0.28477967,-0.0,0.14094834,0.85112894,0.99003285,0.8632419,0.24293509,0.7397064,0.8230448,0.9958419,0.7963639,0.99047744,0.35646537,0.79887,0.2999651
5,0.1971929,0.49949473,0.34094417,0.13249685,0.32645726,0.25254676,0.8700132,0.74177116,0.9921251,-0.0,0.0028612618,0.13615306,0.27561173,-0.0,-0.0,0.51733637,0.06391246,0.33542967,0.12220462,-0.0,-0.0,0.81709915,-0.0,0.10823526,0.2675354,1.0085181,-0.0,0.99559516,0.19834915,0.2481272,1.0004286,-0.0,0.7964891,-0.0,0.9981493,0.4944286,0.6530073,0.16346207,0.33182013,0.73989385,0.8017962,0.7557257,-0.0,0.20257151,-0.0,0.9914477,1.0015802,-0.0,0.9933409,0.44365954,0.28841633,-0.0,0.13957436,0.8526206,0.9906913,0.8569636,0.49476913,0.75088996,0.82851803,0.998025,0.8039737,0.98967534,0.2914727,0.80515915,0.15284601
6,0.2583085,0.4948539,0.44549417,0.2744511,0.6599923,0.41794798,0.9488705,0.91986614,0.99153566,0.10642429,0.3365408,0.24902865,0.24319014,-0.0,-0.0,-0.0,0.042624675,0.3387578,0.36982954,-0.0,-0.0,0.6442141,-0.0,0.31123042,-0.0,1.0016372,-0.0,0.9979068,0.1955525,0.25100783,0.40018058,-0.0,0.79568946,1.0005659,1.00445,-0.0,0.31655544,0.16479021,0.32842404,-0.0,0.7993959,0.7541564,-0.0,0.20223773,0.28558806,0.66161406,0.9985851,-0.0,0.99665856,0.861567,0.28575972,-0.0,0.14044882,0.8544496,0.9860454,0.86342573,0.74521476,0.7433396,0.8309345,0.9988494,0.7966438,0.99568313,-0.0,0.79968125,0.37942132
7,0.33343014,0.4984456,0.3362764,0.17832185,0.6607432,0.42169285,0.72099525,0.38871235,0.9759134,0.14315034,0.6796738,0.16035147,0.0010912232,-0.0,-0.0,0.5170359,0.046230607,0.33830088,0.3755172,-0.0,-0.0,0.9157668,-0.0,0.17857789,0.47796026,1.0024157,-0.0,0.992874,0.19490242,0.5001564,0.20205383,-0.0,0.7921176,-0.0,0.99288714,0.48851275,0.32219675,0.16207044,-0.0,0.49411288,0.797228,0.7512595,-0.0,0.20255114,0.7117851,0.999195,0.9978328,-0.0,-0.0,0.5689609,0.2861373,-0.0,0.14288577,0.42760244,0.9920309,0.39871368,0.74188846,0.74240005,0.15846193,0.999796,0.79720473,0.9904763,0.3552215,0.80032396,0.23029518
8,0.2775781,0.4973861,0.32289717,0.15384889,0.65155876,0.50266975,0.41485757,-0.0,0.9611207,-0.0,0.67365724,0.0053902566,0.17075804,-0.0,-0.0,-0.0,0.029647732,-0.0,0.2521702,-0.0,-0.0,0.28053805,-0.0,0.15516631,0.36188295,1.0036249,-0.0,0.98803097,0.19463126,0.00073506124,0.002973821,0.5002571,0.19701026,0.9953523,0.9960536,0.7491594,0.66047525,0.83739364,0.82578874,0.7461214,0.20930925,1.0087605,-0.0,0.20289952,-0.0,0.9984394,0.9995613,-0.0,0.9866854,0.6935314,0.28188437,-0.0,0.14149481,0.21328121,0.9842091,0.9937142,0.5015805,0.74875605,0.82462794,0.33060634,0.7960826,0.9977465,0.28578004,-0.0,0.13193154
9,0.1404315,0.2377355,0.14259017,0.1610079,0.33054262,0.25094652,0.4763351,-0.0,0.9594996,-0.0,0.6673951,0.15725946,0.15965852,-0.0,-0.0,-0.0,0.033738844,0.34157163,0.2507547,-0.0,-0.0,-0.0,-0.0,0.16676801,-0.0,0.99794054,-0.0,0.98320687,0.19333999,0.0030058566,-0.0,-0.0,0.78787345,0.9867633,0.99222785,0.7379054,0.32243383,0.16484578,0.32352796,0.7288463,0.40658796,0.7510261,-0.0,0.1980063,0.14956042,0.99606293,0.9877398,-0.0,-0.0,0.116633214,0.0015443303,0.26207793,0.14443217,0.56733084,0.98392516,0.51946265,0.4904889,0.7331727,0.81345,0.9935938,0.79417247,0.9955419,1.0000839,0.7983982,0.11475945
