Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Functional,FireplaceQu,GarageType,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MiscFeature,SaleType,SaleCondition,SalePrice
0,0.23055264,0.22353517,-0.0,0.67402124,0.48626193,0.96110225,0.8867991,0.10033188,-0.0,-0.0,0.06505521,0.13770074,0.11804058,0.4055784,-0.0,0.26240233,0.34199125,-0.0,0.6696297,0.50678396,0.38320383,0.33677438,0.5027048,-0.0,1.0008188,0.50020397,0.3975174,-0.0,0.11442982,-0.0,-0.0,-0.0,-0.0,-0.0,0.09376746,0.5160394,0.7628829,1.0032516,1.0002164,0.9823289,0.9900167,-0.0,1.0173639,-0.0,0.20552057,0.2553483,0.28621572,-0.0,0.7106822,-0.0,0.1407837,0.85031945,0.8743044,0.25949094,0.67051506,1.016547,0.39848736,0.50393826,0.7705768,0.76728576,0.3270274,0.83550614,0.20060647,-0.0,1.0034555,0.8128715,0.65039766,0.9945156,0.99010336,0.16760652,0.3107694,0.80408543,0.80400693,1.000957,0.99993235,1.0027641,1.0032139,1.0021969,0.79771423,0.23598532
1,-0.0,0.2741569,-0.0,0.56548357,0.85743344,0.76243997,0.42830083,-0.0,-0.0,-0.0,0.123083144,0.20781723,0.21454918,-0.0,-0.0,0.18254283,-0.0,-0.0,0.6719312,-0.0,0.38233784,0.33678013,0.33794826,0.3434122,0.9862844,0.503078,0.33672673,0.35839933,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.36655417,0.27255356,0.7576359,1.0023776,0.9982119,0.97307193,0.98601615,-0.0,0.50842583,-0.0,0.98794067,0.13185939,0.2874874,-0.0,0.28132367,-0.0,0.1423122,0.5563991,0.5325476,0.51072294,0.995325,1.0139301,0.1950332,0.49722344,0.7713714,0.24878174,-0.0,0.8302222,0.20045623,-0.0,0.99938387,0.81250334,0.9852688,0.98789614,0.7839035,0.15136592,0.2935243,0.8022194,0.7981858,1.0012975,0.99833,0.9988581,0.999638,1.000738,0.79927003,0.20282632
2,0.23284644,0.23130932,-0.0,0.67514825,0.48916936,0.9471513,0.87346977,0.07486993,-0.0,-0.0,0.1891204,0.1504448,0.13201137,0.41492295,-0.0,0.2744285,0.34307158,-0.0,0.66958463,0.50667,0.38685796,0.33885515,0.33474582,0.33799198,1.0000045,0.502469,0.438771,-0.0,0.07987227,-0.0,-0.0,-0.0,-0.0,-0.0,0.73708403,0.5180602,0.75862116,1.0033278,0.99869585,-0.0,0.9875699,-0.0,1.0180153,-0.0,0.20392162,0.257488,0.28558645,-0.0,0.7104462,-0.0,0.14172426,0.85337216,0.8771113,0.26089612,0.6671518,1.0148382,0.3993735,0.50372154,0.7651572,0.51012045,0.32905042,0.8339767,0.20154285,-0.0,1.0023696,0.8100319,0.65262496,0.99712855,0.79230684,0.17188022,0.3110902,0.804165,0.8024447,1.0018518,0.9992176,1.0070097,1.0046846,1.0011107,0.79469144,0.2566764
3,0.29920143,0.21027993,-0.0,0.6745359,0.4932199,0.3224041,0.3301571,-0.0,-0.0,-0.0,0.23757918,0.123839684,0.1385516,0.36880407,-0.0,0.26472324,0.34380066,-0.0,0.34410316,-0.0,0.38058004,0.33574656,0.42451143,0.3382391,0.98010445,0.74845016,0.46343055,0.00887647,0.060207874,0.48473847,-0.0,-0.0,-0.0,-0.0,0.09763893,0.002341399,0.7517955,1.0043576,1.0007273,-0.0,0.9948585,-0.0,0.010081716,-0.0,0.2504643,0.27073944,0.28481793,-0.0,0.7112616,-0.0,0.1442142,0.9319249,1.0180302,0.5167523,0.9940069,1.0082141,-0.0,0.76108146,0.2695148,0.7737363,-0.0,0.8319437,0.20160916,0.5117775,1.0043815,0.811001,0.649554,0.9859049,0.38698193,0.8322616,0.6326642,0.80455613,0.7977222,1.007171,1.0035887,0.99965924,0.99935925,0.9981244,-0.0,0.13912714
4,0.23617615,0.2817736,-0.0,0.78381896,0.48786375,0.9396653,0.8387891,0.19334999,-0.0,-0.0,0.21340111,0.1836755,0.1839512,0.50540924,-0.0,0.35356125,0.3466928,-0.0,0.669653,0.50690997,0.5130507,0.34004727,0.58332646,0.33888718,1.0020903,0.7544917,0.5984737,0.2321119,0.15815005,-0.0,-0.0,-0.0,-0.0,-0.0,1.011047,0.51809555,0.7548414,0.9994572,1.0005109,-0.0,0.9826407,-0.0,0.50650066,-0.0,0.6228992,0.25560498,0.28284687,-0.0,0.7098481,-0.0,0.14180614,0.8480689,0.8722011,0.26218852,0.66641396,1.0119375,0.39830753,0.507135,0.7620554,-0.0,0.32971898,0.8300991,0.20124176,-0.0,1.0013325,0.80860126,0.65174335,0.99236226,0.7844393,0.16503762,0.30632064,0.80327594,0.8011006,0.9947724,0.9979913,1.001912,1.0025482,0.998573,0.7928487,0.2976778
5,0.17387639,0.28826937,-0.0,0.45987797,0.49105796,0.8903748,0.7552186,-0.0,-0.0,-0.0,0.027774643,0.1255385,0.10711551,0.25794986,-0.0,0.19844219,0.34488356,-0.0,0.33401075,0.5087488,0.14022669,0.34326592,0.25331435,-0.0,0.994709,0.5042288,0.34716147,0.05460262,0.059556462,-0.0,-0.0,-0.0,-0.0,-0.0,0.81740975,0.7638005,0.75327104,0.99972,1.0038338,-0.0,0.9834364,-0.0,1.003317,-0.0,0.45976523,0.2490586,0.28818786,-0.0,-0.0,-0.0,0.1402652,0.8432132,0.871412,0.50510967,0.99797773,1.0095065,0.99255353,0.48891115,0.76216304,0.7526812,0.3321512,0.83388764,0.20091495,-0.0,1.0059531,0.8155011,0.98201126,0.9950778,0.9996553,0.17707562,0.6637827,0.8054924,0.80367696,0.9976607,0.99988544,0.5100009,0.5127045,1.0027283,0.79764557,0.14782967
6,-0.0,0.2557022,-0.0,0.7877992,0.4858172,0.9712434,0.9176414,0.09080585,-0.0,-0.0,0.13617146,0.27544093,0.31399986,-0.0,-0.0,0.26163915,0.3483513,-0.0,0.66726464,-0.0,0.38401076,0.33690235,0.42025238,0.34527394,0.99985194,0.50542766,0.46230426,0.30992132,0.10597051,-0.0,-0.0,-0.0,-0.0,-0.0,0.63334906,0.2617134,0.7577775,1.0017962,0.997277,0.97973967,0.983337,-0.0,1.012563,-0.0,0.87033165,0.25309715,0.2850818,-0.0,0.27963796,-0.0,0.14136645,0.84366924,0.867394,0.75988764,0.66229665,1.015947,0.39670706,-0.0,0.76316416,-0.0,0.32612827,0.82607275,0.20068124,-0.0,1.0006351,0.81332797,0.64746326,0.99356204,0.3805737,0.14706475,0.29627633,0.80279416,0.801551,1.000864,0.9990038,1.0054222,1.0032318,1.002033,0.792264,0.37562755
7,0.23935553,0.008964533,-0.0,0.66750443,0.6151608,0.73895013,0.3961575,0.12025567,-0.0,-0.0,0.09503527,0.18055914,0.17540036,0.4751259,-0.0,0.33585837,0.34827417,-0.0,0.6635279,0.50102705,0.3842559,0.34271094,0.42278704,0.67189074,0.98685133,0.5011991,0.34897846,0.27938706,0.3757891,0.39655638,-0.0,-0.0,-0.0,-0.0,0.91091824,0.76352966,0.76474786,1.0023445,0.9999703,-0.0,0.9780622,-0.0,0.0071786568,-0.0,0.57959235,0.49690843,0.2881156,-0.0,0.70786303,-0.0,0.14164947,0.42150253,0.4093743,0.7618286,1.0008023,1.0119396,0.1910864,0.49642378,0.76025075,0.5061568,-0.0,0.1642079,0.20173314,0.001551307,0.9980433,0.8081957,0.99457514,0.9910767,0.7876468,0.15146339,0.30132386,0.79791087,0.80130875,0.99744713,0.9952701,1.0031093,0.5107599,0.99723417,0.79854345,0.22970258
8,0.1719499,0.18843344,-0.0,0.6780346,0.4867191,0.43295994,-0.0,-0.0,-0.0,-0.0,0.41133597,0.15602352,0.15609524,0.37972042,-0.0,0.2858954,-0.0,-0.0,0.66218406,-0.0,0.25761512,0.6596965,0.51060057,0.6812969,0.9537684,0.5027987,0.34852344,0.10877943,-0.0,0.35581124,-0.0,-0.0,-0.0,-0.0,0.28498858,0.5335992,1.0079772,1.004631,0.9991479,0.9704155,0.9920273,-0.0,1.0177217,-0.0,0.6992596,0.020819746,0.2861067,-0.0,-0.0,-0.0,0.14174394,0.21479903,1.0122787,0.50714713,1.0045705,1.0103109,-0.0,0.7527062,0.78082985,0.78136146,0.82217956,0.8278193,0.20188037,0.5018708,0.9984601,0.21691187,0.9838635,0.32019317,0.80174834,0.8154351,0.6206789,0.21054019,0.7964009,1.0068333,0.9925108,1.0072819,1.0028435,0.9960957,-0.0,0.12842241
9,0.9915058,0.17490382,-0.0,0.45877615,0.59960836,0.49568066,-0.0,-0.0,-0.0,-0.0,0.05737981,0.1605588,0.15876482,-0.0,-0.0,0.14138635,0.34799576,-0.0,0.33707377,-0.0,0.25615916,0.6784167,0.25289288,0.67901105,0.95862603,0.24853806,0.1506899,-0.0,0.00088032155,-0.0,-0.0,-0.0,-0.0,-0.0,0.0056306645,0.524021,0.757476,1.0038992,0.9978277,0.969643,0.9802117,-0.0,0.016493224,-0.0,0.11675745,0.008670323,0.007094441,0.23193702,0.13736552,-0.0,0.14433625,0.571016,0.55959487,0.5097133,0.9932839,1.0030965,-0.0,0.74151015,0.77194566,0.7800044,0.31579694,0.82823664,0.2074855,0.0031723457,0.99027145,0.82477826,0.97845817,0.98520285,0.7844806,0.1586009,0.29324445,0.40047604,0.8022665,1.0071478,0.9876095,0.992401,1.0031664,0.9876148,0.7951213,0.10938894
