Id,GrLivArea,GarageCars,GarageArea,TotalBsmtSF,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,GarageYrBlt,MasVnrArea,Fireplaces,BsmtFinSF1,LotFrontage,WoodDeckSF,OpenPorchSF,HalfBath,LotArea,BsmtFullBath,BedroomAbvGr,ScreenPorch,PoolArea,MoSold,3SsnPorch,1stFlrSF,2ndFlrSF,CentralAir,KitchenQual,SaleType,RoofStyle,Condition1,Foundation,HeatingQC,Electrical,LotShape,LandContour,BsmtQual,GarageFinish,GarageType,BsmtFinType1,BsmtExposure,GarageQual,MSZoning,LandSlope,Heating,HouseStyle,ExterQual,Street,Utilities,LotConfig,Neighborhood,Condition2,BldgType,RoofMatl,Exterior1st,ExterCond,Exterior2nd,MasVnrType,BsmtCond,BsmtFinType2,Functional,GarageCond,PavedDrive,MSSubClass,SaleCondition,SalePrice
0,0.26223814,0.5038646,0.3924229,0.14873183,0.6705195,0.5043057,0.9465622,0.8906019,0.99384093,0.12575307,0.0021113306,0.12655842,0.20469965,-0.0,0.1166401,0.49920222,-0.0,-0.0,0.37340182,-0.0,-0.0,0.08063644,-0.0,0.12149701,0.4240247,1.0048414,0.6773581,1.0042928,0.18618895,0.25180325,0.3953922,-0.0,0.8019605,0.99605024,1.0097871,0.5035911,-0.0,0.16726048,0.33030757,0.7478873,0.8071259,0.74875516,-0.0,0.19981503,0.7088672,0.67640966,1.0022746,-0.0,0.99960005,0.20215008,0.28455818,-0.0,0.14442709,-0.0,1.0099367,0.87353116,0.24618638,0.7532352,0.8375059,1.0068123,0.80263025,0.9998619,0.36208904,0.8052004,0.24210863
1,0.177511,0.50540817,0.32936215,0.21717633,0.6691721,0.33784822,0.7532646,0.4392707,0.9796492,8.6443964e-05,0.3407857,0.1758581,0.25007814,0.3466084,0.002611659,-0.0,-0.0,-0.0,0.37504914,-0.0,-0.0,0.35836524,-0.0,0.21425176,-0.0,1.005431,1.0126485,1.00574,0.18785582,0.12836754,0.19434549,-0.0,0.7946454,0.9997595,1.0050476,0.50229603,-0.0,0.16615675,-0.0,0.24056017,0.80976295,0.7456771,-0.0,0.19964093,0.2811127,1.0085237,1.0025907,-0.0,0.49139565,0.99832445,0.28408885,-0.0,0.14443412,-0.0,1.0075337,0.53906316,0.49797752,0.75632876,0.839223,1.0049517,0.8042874,1.0033059,-0.0,0.8074747,0.20456457
2,0.27591613,0.502255,0.43352735,0.15949781,0.6682438,0.3378313,0.9324318,0.8782723,0.99313664,0.104042105,0.341668,0.08706652,0.21646886,-0.0,0.08258415,0.5004815,-0.0,-0.0,0.37265193,-0.0,-0.0,0.7237601,-0.0,0.13576414,0.4285051,1.0035795,0.6732511,1.0035256,0.18804526,0.25112465,0.39412457,-0.0,0.802643,-0.0,1.008512,0.5023656,-0.0,0.16794299,0.32931438,0.4960279,0.80573416,0.75052524,-0.0,0.19936955,0.7088226,0.67349607,1.0013739,-0.0,1.0011072,0.20022959,0.2835375,-0.0,0.14398304,-0.0,1.0062745,0.87183833,0.24567764,0.7509895,0.83601695,1.0048486,0.8015776,0.99780935,0.36499932,0.80543166,0.2633398
3,0.2673042,0.750975,0.45886332,0.13475303,0.33577368,0.42023757,0.30922598,0.35148132,0.9729116,-0.0,0.3397964,0.033050604,0.18272676,-0.0,0.062474795,-0.0,-0.0,-0.0,0.37312087,-0.0,-0.0,0.08479926,-0.0,0.14488877,0.37641507,1.0015044,0.66516113,1.0032623,0.18976165,0.24994001,-0.0,0.49509275,0.80696553,-0.0,0.9987168,0.7501783,-0.0,0.83770096,-0.0,0.74008316,0.8123585,0.74283904,-0.0,0.19769004,0.71146697,1.0020895,1.0054077,-0.0,-0.0,0.24231547,0.28217542,-0.0,0.1442811,-0.0,1.0009446,1.0039507,0.5013287,0.23746356,0.83841735,1.0005034,0.8037996,0.9945315,0.4423023,-0.0,0.14626981
4,0.3529638,0.75400615,0.5935183,0.19795337,0.66497046,0.58900845,0.92290485,0.8399601,0.99220246,0.22448483,0.34159634,0.11840449,0.2646896,0.22353896,0.15917693,0.50422406,-0.0,-0.0,0.49839923,-0.0,-0.0,0.99806523,-0.0,0.18748216,0.51921254,1.0030224,0.6722272,1.0039818,0.18869609,0.2530085,0.39236915,-0.0,0.8012026,-0.0,1.0092298,0.5018193,-0.0,0.16718882,0.3313181,-0.0,0.8059536,0.7485999,-0.0,0.19931976,0.7070359,0.6749589,1.0000548,-0.0,0.4916939,0.6170231,0.28388736,-0.0,0.14446907,-0.0,1.0058084,0.8702453,0.24663165,0.74823374,0.83708435,1.0037216,0.7989711,0.9999678,0.36445153,0.8048704,0.29960945
5,0.19526993,0.5055529,0.34535474,0.13630565,0.3367259,0.25822693,0.8834342,0.7655541,0.99445397,-0.0,-0.0,0.13375145,0.27688843,0.041625675,0.062349103,0.49744013,-0.0,-0.0,0.12533583,-0.0,-0.0,0.8097718,-0.0,0.11182448,0.27860036,1.0097759,1.0075811,1.0083747,0.19160165,0.25332353,0.99739075,-0.0,0.79443,-0.0,1.0051821,0.49887773,-0.0,0.16662823,0.32714143,0.73610646,0.80761075,0.74794084,-0.0,0.1991234,-0.0,1.0065533,1.0041537,-0.0,1.007323,0.45444047,0.27152878,-0.0,0.14121985,-0.0,1.0034839,0.87950444,0.49601123,0.7564418,0.8268952,1.002002,0.8124243,1.0034846,0.28701946,0.8058403,0.15407187
6,0.258626,0.50473166,0.45357597,0.28795606,0.6691906,0.42093432,0.9577207,0.9199146,0.9942746,0.119281285,0.33904022,0.24594744,0.23463786,0.29678217,0.11110271,-0.0,-0.0,-0.0,0.37422153,-0.0,-0.0,0.6296946,-0.0,0.31428897,-0.0,1.0067129,0.67753965,1.0079112,0.1852466,0.2551943,0.39351338,-0.0,0.79507375,0.99529254,1.0092906,-0.0,-0.0,0.16609432,0.32599357,-0.0,0.8069649,0.7460016,-0.0,0.20001988,0.27802852,0.6767111,1.0040047,-0.0,0.99885654,0.87014276,0.28506967,-0.0,0.14407007,-0.0,1.0106115,0.8757477,0.74762535,0.7556506,0.83647496,1.0074991,0.80448174,1.0061772,-0.0,0.80946654,0.3800039
7,0.33363122,0.50417304,0.34978783,0.18985684,0.666786,0.424161,0.7251002,0.39066374,0.97552824,0.14866073,0.6835743,0.1542262,-0.0,0.27542493,0.37905368,0.5004306,-0.0,-0.0,0.37624356,-0.0,-0.0,0.9035553,-0.0,0.18062826,0.48696056,1.0016762,1.0070132,1.0019997,0.1876417,0.50391793,0.19051862,-0.0,0.80890906,-0.0,1.0120684,0.5052819,-0.0,0.16701676,-0.0,0.49621132,0.80925286,0.7559544,-0.0,0.19865213,0.70852774,1.01036,1.0004338,-0.0,-0.0,0.5784542,0.28235325,-0.0,0.14387098,-0.0,0.9998148,0.3997304,0.7455307,0.7433006,0.16617705,1.0014707,0.7997362,0.99492353,0.3686214,0.80189294,0.23169553
8,0.27417988,0.506221,0.33397067,0.16544585,0.6716358,0.502716,0.42512363,-0.0,0.95686525,-0.0,0.67047477,-0.0,0.15703453,0.10225546,0.0015037428,-0.0,-0.0,-0.0,0.25089008,-0.0,-0.0,0.26082313,-0.0,0.16513948,0.37262845,1.0049796,1.0110729,1.0100538,0.1902829,0.0016253404,-0.0,0.49818265,0.18877187,0.984443,0.99992156,0.75274694,-0.0,0.83144075,0.8346188,0.74041843,0.20625785,0.99300766,-0.0,0.19883259,-0.0,1.0074265,1.0023109,-0.0,0.9980683,0.7035147,0.28513184,-0.0,0.1435587,-0.0,1.0108527,1.0036951,0.4983841,0.75580466,0.8488132,0.34265852,0.8037056,1.0087888,0.2929835,0.0038516447,0.12997182
9,0.14240092,0.2510432,0.14901094,0.16605477,0.33200032,0.25302115,0.4770443,-0.0,0.9557966,-0.0,0.6708957,0.15302952,0.15507436,-0.0,0.010207508,-0.0,-0.0,-0.0,0.24857487,-0.0,-0.0,-0.0,-0.0,0.1727533,-0.0,1.0026623,1.0025272,1.00341,0.18803658,-0.0,-0.0,-0.0,0.79939723,0.9954961,0.99449503,0.7585024,-0.0,0.16266938,0.33461517,0.74318266,0.4064449,0.73715544,-0.0,0.19780949,0.14365412,1.0044286,0.99895614,-0.0,-0.0,0.113257,-0.0,0.26043835,0.14253385,-0.0,1.0005666,0.5304561,0.49750012,0.7449048,0.8374223,0.9981855,0.7990838,0.9855171,1.0113184,0.80119765,0.11196786
10,0.1369228,0.2563622,0.27752265,0.18018483,0.33562285,0.25500897,0.6730228,0.25981653,0.9741124,-0.0,0.000941433,0.16252972,0.2204939,-0.0,0.001063704,-0.0,-0.0,-0.0,0.3730884,-0.0,-0.0,0.079155676,-0.0,0.16401352,-0.0,1.0045278,1.0156931,1.0073549,0.5891097,0.25206438,0.19590925,-0.0,0.7967334,0.9967426,1.0020536,0.75409156,-0.0,0.8327571,0.6641903,0.74664265,0.8115542,0.745201,-0.0,0.1997874,0.28295437,1.0069196,1.0018067,-0.0,0.99992156,0.7870564,0.28421676,-0.0,0.14370732,-0.0,1.0077198,0.406969,0.49741057,0.75758475,0.835416,1.0018177,0.8044001,1.0034652,-0.0,0.8040438,0.13347149
11,0.37441126,0.7557896,0.5191301,0.20543431,1.001989,0.75463384,0.96441734,0.9472219,0.99733365,0.18297927,0.6707636,0.17915511,0.2658227,0.1713363,0.046454426,-0.0,-0.0,-0.0,0.5014792,-0.0,-0.0,0.539822,-0.0,0.19673039,0.5572598,1.0080862,-0.0,0.7713075,0.58443105,0.25190696,0.38963425,-0.0,0.79990536,-0.0,1.0114268,-0.0,-0.0,0.50086814,0.32343113,0.7457693,0.8066859,0.7426807,-0.0,0.19969787,0.7063608,-0.0,1.0020939,-0.0,0.99710673,0.6600847,0.2848029,-0.0,0.1448981,-0.0,1.0125046,1.007067,0.7491822,0.7561394,0.8403484,1.0071574,0.8047875,1.0061257,0.36072242,1.0107211,0.4337068
